area_type,location,total_sqft,bath,balcony,price,ready_to_move,bedrooms,price_per_sqft
Super built-up  Area,1st phase jp nagar,1875.0,3,1,16700000.0,1,3,8906.666666666666
Super built-up  Area,1st phase jp nagar,2065.0,4,1,21000000.0,1,3,10169.49152542373
Super built-up  Area,1st phase jp nagar,2059.0,3,2,22500000.0,1,3,10927.634774162214
Super built-up  Area,1st phase jp nagar,1394.0,2,1,10000000.0,1,2,7173.601147776184
Super built-up  Area,1st phase jp nagar,1077.0,2,2,9300000.0,0,2,8635.097493036212
Built-up  Area,1st phase jp nagar,839.907117,1,1,6300000.0,1,1,7500.829404211371
Plot  Area,1st phase jp nagar,1566.0,2,0,18000000.0,1,2,11494.252873563219
Built-up  Area,1st phase jp nagar,840.0,2,2,5000000.0,1,1,5952.380952380952
Super built-up  Area,1st phase jp nagar,1590.0,3,3,13100000.0,0,3,8238.993710691824
Super built-up  Area,1st phase jp nagar,2180.0,3,2,21000000.0,1,3,9633.02752293578
Super built-up  Area,1st phase jp nagar,1180.0,2,2,8850000.0,1,2,7500.0
Built-up  Area,1st phase jp nagar,1394.0,2,2,8500000.0,1,2,6097.5609756097565
Super built-up  Area,1st phase jp nagar,2077.0,3,3,17500000.0,0,3,8425.613866153106
Super built-up  Area,1st phase jp nagar,1205.0,2,1,8500000.0,1,2,7053.941908713693
Super built-up  Area,1st phase jp nagar,900.0,2,1,7500000.0,1,2,8333.333333333334
Super built-up  Area,2nd phase judicial layout,1450.0,2,1,5075000.0,1,3,3500.0
Super built-up  Area,2nd phase judicial layout,1150.0,2,1,4025000.0,1,2,3500.0
Super built-up  Area,2nd phase judicial layout,1350.0,2,2,4725000.0,1,3,3500.0
Super built-up  Area,2nd phase judicial layout,1350.0,2,2,4725000.0,1,3,3500.0
Super built-up  Area,2nd phase judicial layout,900.0,2,2,4100000.0,0,2,4555.555555555556
Super built-up  Area,2nd phase judicial layout,1681.0,3,3,6900000.0,1,3,4104.699583581201
Super built-up  Area,2nd phase judicial layout,1350.0,2,2,4725000.0,1,3,3500.0
Super built-up  Area,2nd phase judicial layout,1150.0,2,1,4025000.0,1,2,3500.0
Super built-up  Area,5th phase jp nagar,1075.0,2,2,6000000.0,1,2,5581.395348837209
Built-up  Area,5th phase jp nagar,1150.0,3,3,5250000.0,1,2,4565.217391304348
Built-up  Area,5th phase jp nagar,1256.0,2,1,6280000.0,1,2,5000.0
Super built-up  Area,5th phase jp nagar,1207.0,2,2,6300000.0,1,2,5219.552609776305
Built-up  Area,5th phase jp nagar,1725.0,2,2,10000000.0,1,3,5797.101449275362
Super built-up  Area,5th phase jp nagar,1440.0,2,2,6000000.0,1,2,4166.666666666667
