area_type,availability,location,size,total_sqft,bath,balcony,price,ready_to_move,bedrooms
Super built-up  Area,19-Dec,electronic city phase ii,2 BHK,1056.0,2,1,3907000.0,0,2
Plot  Area,Ready To Move,chikka tirupathi,4 BHK,2600.0,5,3,12000000.0,1,4
Built-up  Area,Ready To Move,uttarahalli,3 BHK,1440.0,2,3,6200000.0,1,3
Super built-up  Area,Ready To Move,lingadheeranahalli,3 BHK,1521.0,3,1,9500000.0,1,3
Super built-up  Area,Ready To Move,kothanur,2 BHK,1200.0,2,1,5100000.0,1,2
Super built-up  Area,Ready To Move,whitefield,2 BHK,1170.0,2,1,3800000.0,1,2
Super built-up  Area,Ready To Move,marathahalli,3 BHK,1310.0,3,1,6325000.0,1,3
Super built-up  Area,18-Feb,whitefield,3 BHK,1800.0,2,2,7000000.0,0,3
Plot  Area,Ready To Move,whitefield,4 BHK,2785.0,5,3,29500000.0,1,4
Super built-up  Area,Ready To Move,7th phase jp nagar,2 BHK,1000.0,2,1,3800000.0,1,2
Built-up  Area,Ready To Move,gottigere,2 BHK,1100.0,2,2,4000000.0,1,2
Plot  Area,Ready To Move,sarjapur,3 BHK,2250.0,3,2,14800000.0,1,3
Super built-up  Area,Ready To Move,mysore road,2 BHK,1175.0,2,2,7350000.0,1,2
Super built-up  Area,Ready To Move,bisuvanahalli,3 BHK,1180.0,3,2,4800000.0,1,3
Super built-up  Area,Ready To Move,raja rajeshwari nagar,3 BHK,1540.0,3,3,6000000.0,1,3
Super built-up  Area,Ready To Move,ramakrishnappa layout,3 BHK,2770.0,4,2,29000000.0,1,3
Super built-up  Area,Ready To Move,manayata tech park,2 BHK,1100.0,2,2,4800000.0,1,2
Built-up  Area,Ready To Move,kengeri,1 BHK,600.0,1,1,1500000.0,1,1
Super built-up  Area,19-Dec,binny pete,3 BHK,1755.0,3,1,12200000.0,0,3
Plot  Area,Ready To Move,thanisandra,4 BHK,2800.0,5,2,38000000.0,1,4
Super built-up  Area,Ready To Move,bellandur,3 BHK,1767.0,3,1,10300000.0,1,3
Super built-up  Area,18-Nov,thanisandra,1 RK,510.0,1,0,2525000.0,0,1
Super built-up  Area,18-May,mangammanapalya,3 BHK,1250.0,3,2,5600000.0,0,3
Super built-up  Area,Ready To Move,electronic city,2 BHK,660.0,1,1,2310000.0,1,2
Built-up  Area,20-Dec,whitefield,3 BHK,1610.0,3,2,8100000.0,0,3
Super built-up  Area,17-Oct,ramagondanahalli,2 BHK,1151.0,2,2,4877000.0,0,2
